"Date","Price","Open","High","Low","Vol.","Change %"
"30/12/2022","22.02","21.92","22.03","21.64","14.25M","0.23%"
"29/12/2022","21.97","22.06","22.14","21.95","11.90M","1.71%"
"28/12/2022","21.60","21.93","21.97","21.59","10.92M","-2.31%"
"27/12/2022","22.11","21.96","22.35","21.92","12.35M","1.19%"
"23/12/2022","21.85","21.78","21.94","21.68","10.92M","0.74%"
"22/12/2022","21.69","21.65","21.79","21.52","15.13M","-1.72%"
"21/12/2022","22.07","22.09","22.27","22.01","11.64M","-0.72%"
"20/12/2022","22.23","21.95","22.32","21.86","28.50M","5.26%"
"19/12/2022","21.12","21.35","21.38","21.01","12.70M","-1.17%"
"16/12/2022","21.37","21.16","21.40","21.13","15.98M","0.61%"
"15/12/2022","21.24","21.45","21.57","21.15","19.92M","-3.41%"
"14/12/2022","21.99","21.93","22.14","21.52","24.34M","0.73%"
"13/12/2022","21.83","22.09","22.20","21.68","24.66M","1.72%"
"12/12/2022","21.46","21.58","21.62","21.26","20.22M","-0.46%"
"09/12/2022","21.56","21.45","21.80","21.26","18.98M","1.65%"
"08/12/2022","21.21","21.32","21.37","21.14","17.95M","1.39%"
"07/12/2022","20.92","20.67","21.01","20.66","22.57M","2.35%"
"06/12/2022","20.44","20.62","20.75","20.27","16.49M","0.00%"
"05/12/2022","20.44","20.91","20.95","20.40","24.40M","-3.99%"
"02/12/2022","21.29","20.73","21.39","20.67","23.15M","1.48%"
"01/12/2022","20.98","20.63","20.98","20.59","24.95M","2.69%"
"30/11/2022","20.43","20.12","20.43","19.81","26.50M","4.45%"
"29/11/2022","19.56","19.50","19.75","19.50","11.25M","1.56%"
"28/11/2022","19.26","19.66","19.69","19.20","20.29M","-2.33%"
"25/11/2022","19.72","19.59","19.75","19.56","7.78M","-0.45%"
"23/11/2022","19.81","19.53","19.88","19.50","12.77M","1.96%"
"22/11/2022","19.43","19.42","19.52","19.25","10.14M","1.20%"
"21/11/2022","19.20","19.21","19.25","19.02","10.47M","-0.26%"
"18/11/2022","19.25","19.31","19.46","19.18","15.32M","-0.21%"
"17/11/2022","19.29","19.25","19.33","19.13","12.90M","-2.28%"
"16/11/2022","19.74","19.95","20.00","19.70","10.18M","-0.70%"
"15/11/2022","19.88","20.08","20.11","19.69","23.96M","-1.78%"
"14/11/2022","20.24","19.95","20.33","19.93","14.50M","1.45%"
"11/11/2022","19.95","19.76","19.95","19.66","12.47M","-0.10%"
"10/11/2022","19.97","19.98","20.07","19.76","21.97M","3.15%"
"09/11/2022","19.36","19.66","19.90","19.33","17.42M","-1.73%"
"08/11/2022","19.70","19.26","19.91","19.21","31.33M","2.87%"
"07/11/2022","19.15","19.22","19.34","19.13","12.87M","-0.57%"
"04/11/2022","19.26","18.74","19.26","18.67","34.82M","7.36%"
"03/11/2022","17.94","17.46","18.00","17.44","19.13M","1.18%"
"02/11/2022","17.73","18.24","18.49","17.73","24.80M","-1.77%"
"01/11/2022","18.05","18.32","18.37","17.94","20.11M","2.44%"
"31/10/2022","17.62","17.46","17.72","17.41","10.01M","-0.68%"
"28/10/2022","17.74","17.70","17.85","17.49","10.71M","-1.33%"
"27/10/2022","17.98","18.02","18.10","17.89","14.11M","0.00%"
"26/10/2022","17.98","17.90","18.12","17.90","17.09M","0.67%"
"25/10/2022","17.86","17.71","17.90","17.70","13.86M","1.02%"
"24/10/2022","17.68","17.66","17.77","17.51","12.95M","-0.45%"
"21/10/2022","17.76","17.21","17.78","17.13","28.68M","3.44%"
"20/10/2022","17.17","17.06","17.50","17.03","17.62M","0.94%"
"19/10/2022","17.01","16.99","17.08","16.91","9.94M","-1.28%"
"18/10/2022","17.23","17.36","17.41","17.08","11.24M","0.64%"
"17/10/2022","17.12","17.33","17.45","17.11","17.94M","1.84%"
"14/10/2022","16.81","17.18","17.19","16.66","24.64M","-3.34%"
"13/10/2022","17.39","17.14","17.52","17.04","26.71M","-1.14%"
"12/10/2022","17.59","17.53","17.68","17.37","21.22M","-0.51%"
"11/10/2022","17.68","17.89","18.08","17.56","23.82M","-2.27%"
"10/10/2022","18.09","18.21","18.24","17.98","17.98M","-2.22%"
"07/10/2022","18.50","18.79","18.88","18.42","24.62M","-2.84%"
"06/10/2022","19.04","18.86","19.06","18.75","11.26M","0.26%"
"05/10/2022","18.99","18.69","19.11","18.37","23.88M","-1.91%"
"04/10/2022","19.36","19.30","19.56","19.21","22.23M","1.36%"
"03/10/2022","19.10","18.47","19.10","18.40","40.56M","9.14%"
"30/09/2022","17.50","17.41","17.77","17.40","14.45M","0.75%"
"29/09/2022","17.37","17.28","17.38","17.03","16.73M","-0.46%"
"28/09/2022","17.45","16.99","17.49","16.99","22.51M","3.25%"
"27/09/2022","16.90","17.16","17.30","16.87","18.08M","-0.12%"
"26/09/2022","16.92","17.37","17.54","16.89","19.18M","-2.53%"
"23/09/2022","17.36","17.64","17.65","17.30","23.92M","-4.04%"
"22/09/2022","18.09","18.13","18.18","17.90","12.55M","0.17%"
"21/09/2022","18.06","18.02","18.36","17.82","36.67M","1.86%"
"20/09/2022","17.73","17.66","17.78","17.56","10.48M","-1.45%"
"19/09/2022","17.99","17.72","18.00","17.70","16.76M","0.00%"
"16/09/2022","17.99","17.57","18.08","17.45","21.18M","2.04%"
"15/09/2022","17.63","17.86","18.05","17.61","17.48M","-2.06%"
"14/09/2022","18.00","18.06","18.15","17.92","16.31M","0.95%"
"13/09/2022","17.83","18.04","18.20","17.82","20.78M","-1.87%"
"12/09/2022","18.17","18.17","18.43","17.99","30.18M","4.91%"
"09/09/2022","17.32","17.13","17.39","17.11","9.81M","1.70%"
"08/09/2022","17.03","17.06","17.13","16.88","13.10M","0.18%"
"07/09/2022","17.00","16.64","17.02","16.61","15.47M","2.78%"
"06/09/2022","16.54","16.82","16.86","16.53","10.81M","-0.18%"
"02/09/2022","16.57","16.63","16.86","16.48","15.88M","1.16%"
"01/09/2022","16.38","16.39","16.48","16.19","18.41M","-1.21%"
"31/08/2022","16.58","16.70","16.82","16.58","18.80M","-2.24%"
"30/08/2022","16.96","17.22","17.23","16.92","21.27M","-1.91%"
"29/08/2022","17.29","17.24","17.43","17.22","18.89M","-0.40%"
"26/08/2022","17.36","17.82","17.91","17.35","19.41M","-2.09%"
"25/08/2022","17.73","17.72","17.77","17.60","16.62M","0.57%"
"24/08/2022","17.63","17.51","17.73","17.47","16.95M","0.06%"
"23/08/2022","17.62","17.40","17.77","17.40","20.13M","0.69%"
"22/08/2022","17.50","17.47","17.60","17.32","21.75M","-0.28%"
"19/08/2022","17.55","17.76","17.78","17.53","19.20M","-2.72%"
"18/08/2022","18.04","18.29","18.35","17.96","20.01M","-1.15%"
"17/08/2022","18.25","18.36","18.42","18.15","23.68M","-1.72%"
"16/08/2022","18.57","18.50","18.64","18.49","20.88M","-0.59%"
"15/08/2022","18.68","18.67","18.80","18.55","19.90M","-2.56%"
