"Date","Price","Open","High","Low","Vol.","Change %"
"30/12/2022","70.11","68.36","70.27","68.35","3.65M","2.31%"
"29/12/2022","68.53","67.55","68.59","67.37","1.97M","-0.07%"
"28/12/2022","68.58","69.18","69.22","67.53","2.78M","-1.37%"
"27/12/2022","69.53","69.59","70.54","69.06","3.15M","0.30%"
"23/12/2022","69.32","68.94","69.56","68.87","2.93M","2.39%"
"22/12/2022","67.70","68.48","68.59","66.85","2.39M","-0.53%"
"21/12/2022","68.06","67.61","68.16","67.41","3.29M","2.78%"
"20/12/2022","66.22","65.83","66.80","64.82","2.50M","0.23%"
"19/12/2022","66.07","65.77","66.50","64.83","3.92M","1.80%"
"16/12/2022","64.90","64.35","65.82","64.14","4.85M","-1.89%"
"15/12/2022","66.15","66.90","67.05","65.68","4.67M","-1.80%"
"14/12/2022","67.36","66.79","67.67","66.08","7.39M","2.28%"
"13/12/2022","65.86","65.16","66.47","65.14","4.50M","2.25%"
"12/12/2022","64.41","63.21","64.63","63.05","4.52M","2.48%"
"09/12/2022","62.85","63.07","63.75","61.81","7.18M","0.22%"
"08/12/2022","62.71","64.61","64.68","62.46","8.33M","-1.48%"
"07/12/2022","63.65","65.47","65.89","63.20","5.44M","-2.42%"
"06/12/2022","65.23","66.97","67.36","64.52","6.75M","-3.68%"
"05/12/2022","67.72","71.56","71.78","67.25","5.26M","-3.04%"
"02/12/2022","69.84","70.60","71.14","69.35","3.46M","-0.87%"
"01/12/2022","70.45","71.64","72.14","70.30","4.57M","0.31%"
"30/11/2022","70.23","70.30","70.44","69.55","3.72M","2.77%"
"29/11/2022","68.34","68.51","69.12","67.19","6.29M","2.18%"
"28/11/2022","66.88","65.16","67.69","65.00","7.38M","-0.12%"
"25/11/2022","66.96","68.19","68.49","66.78","1.70M","-0.67%"
"23/11/2022","67.41","67.84","68.22","66.86","4.69M","-3.67%"
"22/11/2022","69.98","69.92","70.76","69.58","3.71M","1.38%"
"21/11/2022","69.03","66.67","69.37","65.37","12.86M","0.00%"
"18/11/2022","69.03","67.73","69.12","67.46","8.38M","-1.58%"
"17/11/2022","70.14","71.15","71.44","69.52","5.01M","-2.64%"
"16/11/2022","72.04","72.11","72.47","71.38","3.36M","-1.65%"
"15/11/2022","73.25","72.12","74.78","71.60","3.32M","1.86%"
"14/11/2022","71.91","73.54","74.62","71.88","2.68M","-3.32%"
"11/11/2022","74.38","74.53","75.15","73.68","3.19M","2.96%"
"10/11/2022","72.24","71.66","72.99","71.19","2.02M","0.80%"
"09/11/2022","71.67","73.17","73.20","71.58","2.59M","-3.76%"
"08/11/2022","74.47","76.27","76.49","74.08","2.54M","-2.73%"
"07/11/2022","76.56","76.84","77.72","76.22","2.23M","-0.34%"
"04/11/2022","76.82","76.54","76.94","75.50","3.68M","4.82%"
"03/11/2022","73.29","73.05","74.01","72.86","1.48M","-1.07%"
"02/11/2022","74.08","73.12","74.88","72.79","2.80M","1.31%"
"01/11/2022","73.12","73.80","73.89","72.66","4.59M","2.22%"
"31/10/2022","71.53","71.39","72.64","70.72","3.09M","-1.77%"
"28/10/2022","72.82","72.71","73.30","72.03","1.51M","-1.09%"
"27/10/2022","73.62","73.69","74.09","73.11","1.31M","0.89%"
"26/10/2022","72.97","71.36","73.14","71.35","3.44M","3.34%"
"25/10/2022","70.61","70.59","71.45","70.23","1.52M","0.33%"
"24/10/2022","70.38","70.24","71.18","69.80","1.72M","-0.27%"
"21/10/2022","70.57","70.15","70.99","69.46","1.56M","0.56%"
