Date,USO,SLV,S&P500,EUR/USD
30/12/2022,70.11,22.02,"3,839.50",1.0702
29/12/2022,68.53,21.97,"3,849.28",1.0661
28/12/2022,68.58,21.6,"3,783.22",1.0608
27/12/2022,69.53,22.11,"3,829.25",1.0638
23/12/2022,69.32,21.85,"3,844.82",1.0614
22/12/2022,67.7,21.69,"3,822.39",1.0593
21/12/2022,68.06,22.07,"3,878.44",1.0603
20/12/2022,66.22,22.23,"3,821.62",1.0621
19/12/2022,66.07,21.12,"3,817.66",1.0605
16/12/2022,64.9,21.37,"3,852.36",1.0582
15/12/2022,66.15,21.24,"3,895.75",1.0626
14/12/2022,67.36,21.99,"3,995.32",1.0682
13/12/2022,65.86,21.83,"4,019.65",1.063
12/12/2022,64.41,21.46,"3,990.56",1.0535
09/12/2022,62.85,21.56,"3,934.38",1.053
08/12/2022,62.71,21.21,"3,963.51",1.0556
07/12/2022,63.65,20.92,"3,933.92",1.0505
06/12/2022,65.23,20.44,"3,941.26",1.0469
05/12/2022,67.72,20.44,"3,998.84",1.0491
02/12/2022,69.84,21.29,"4,071.70",1.0538
01/12/2022,70.45,20.98,"4,076.57",1.0522
30/11/2022,70.23,20.43,"4,080.11",1.0405
29/11/2022,68.34,19.56,"3,957.63",1.0327
28/11/2022,66.88,19.26,"3,963.94",1.0337
25/11/2022,66.96,19.72,"4,026.12",1.0395
23/11/2022,67.41,19.81,"4,027.26",1.0395
22/11/2022,69.98,19.43,"4,003.58",1.0302
21/11/2022,69.03,19.2,"3,949.94",1.0241
18/11/2022,69.03,19.25,"3,965.34",1.0324
17/11/2022,70.14,19.29,"3,946.56",1.036
16/11/2022,72.04,19.74,"3,958.79",1.0392
15/11/2022,73.25,19.88,"3,991.73",1.0348
14/11/2022,71.91,20.24,"3,957.25",1.0325
11/11/2022,74.38,19.95,"3,992.93",1.0352
10/11/2022,72.24,19.97,"3,956.37",1.0208
09/11/2022,71.67,19.36,"3,748.57",1.0011
08/11/2022,74.47,19.7,"3,828.11",1.0072
07/11/2022,76.56,19.15,"3,806.80",1.0019
04/11/2022,76.82,19.26,"3,770.55",0.996
03/11/2022,73.29,17.94,"3,719.89",0.9751
02/11/2022,74.08,17.73,"3,759.69",0.9817
01/11/2022,73.12,18.05,"3,856.10",0.9874
31/10/2022,71.53,17.62,"3,871.98",0.9883
28/10/2022,72.82,17.74,"3,901.06",0.9963
27/10/2022,73.62,17.98,"3,807.30",0.9962
26/10/2022,72.97,17.98,"3,830.60",1.0077
25/10/2022,70.61,17.86,"3,859.11",0.9964
24/10/2022,70.38,17.68,"3,797.34",0.9874
21/10/2022,70.57,17.76,"3,752.75",0.986
20/10/2022,70.18,17.17,"3,665.78",0.9783
19/10/2022,70.04,17.01,"3,695.16",0.9771
18/10/2022,68.7,17.23,"3,719.98",0.9852
17/10/2022,70.13,17.12,"3,677.95",0.9838
14/10/2022,70.17,16.81,"3,583.07",0.9719
13/10/2022,72.52,17.39,"3,669.91",0.9773
12/10/2022,70.93,17.59,"3,577.03",0.9704
11/10/2022,71.75,17.68,"3,588.84",0.9703
10/10/2022,73.78,18.09,"3,612.39",0.97
07/10/2022,75.1,18.5,"3,639.66",0.9741
06/10/2022,72.99,19.04,"3,744.52",0.9788
05/10/2022,71.94,18.99,"3,783.28",0.9882
04/10/2022,70.28,19.36,"3,790.93",0.9983
